id,utcDate,matchday,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name,score.fullTime.home,score.fullTime.away,result,home_form,away_form,home_norm,away_norm,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,h2h_matches_count,h2h_win_ratio,h2h_goal_difference,h2h_avg_goals,isDerby,derbyType,home_current_value_eur,home_previous_value_eur,home_value_change_pct,home_squad_avg_age,home_absolute_change,home_log_current_value,away_current_value_eur,away_previous_value_eur,away_value_change_pct,away_squad_avg_age,away_absolute_change,away_log_current_value,home_goals,home_xg,home_injury_count,home_last5_form_points,away_goals,away_xg,away_injury_count,away_last5_form_points,value_difference,value_ratio,goals_difference,goals_ratio,xg_difference,xg_ratio,form_difference,injury_difference,age_difference,home_power_index,away_power_index,power_difference,performance_ratio
441806,2023-08-26T13:30:00Z,2,55,SV Darmstadt 98,28,1. FC Union Berlin,1,4,AwayWin,3.0,3.0,darmstadt 98,1. fc union berlin,0,0,0,0,0,0,0.5,0,2.5,0,Normal,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,150000000.0,140000000.0,7.1,27.1,10000000.0,18.83,6.555555555555555,5.794444444444444,0.0,0.0,4.0,4.0,0.0,0.0,111388888.8888889,1.7425925925925927,2.5555555555555554,1.6388888888888888,1.7944444444444443,1.448611111111111,0.0,0.0,-1.0,13.321,13.180999999999997,0.14000000000000234,1.1313518696069031
441805,2023-08-26T13:30:00Z,2,44,1. FC Heidenheim 1846,2,TSG 1899 Hoffenheim,2,3,AwayWin,0.0,0.0,1. fc heidenheim 1846,tsg 1899 hoffenheim,0,0,0,0,0,0,0.5,0,2.5,0,Normal,40000000.0,35000000.0,14.3,27.2,5000000.0,17.5,190000000.0,185000000.0,2.7,25.3,5000000.0,19.06,2.0,4.9,0.0,0.0,8.0,5.5,0.0,0.0,-150000000.0,0.21052631578947367,-6.0,0.25,-0.5999999999999996,0.890909090909091,0.0,0.0,1.8999999999999986,12.25,13.341999999999999,-1.0919999999999987,0.4081632653061224
441800,2023-08-26T13:30:00Z,2,17,SC Freiburg,12,SV Werder Bremen,1,0,HomeWin,0.0,0.0,sc freiburg,sv werder bremen,0,0,0,0,0,0,0.5,0,2.5,0,Normal,180000000.0,170000000.0,5.9,26.5,10000000.0,19.01,110000000.0,105000000.0,4.8,26.4,5000000.0,18.52,7.0,7.3,0.0,0.0,8.0,6.6,0.0,0.0,70000000.0,1.6363636363636365,-1.0,0.875,0.7000000000000002,1.1060606060606062,0.0,0.0,0.10000000000000142,13.307,12.963999999999999,0.34300000000000175,0.9589041095890412
441803,2023-08-26T13:30:00Z,2,1,1. FC Köln,11,VfL Wolfsburg,1,2,AwayWin,0.0,0.0,1. fc koln,vfl wolfsburg,0,0,0,0,0,0,0.5,0,2.5,0,Normal,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,230000000.0,220000000.0,4.5,25.8,10000000.0,19.25,9.0,6.9,0.0,0.0,7.0,4.5,0.0,0.0,-130000000.0,0.43478260869565216,2.0,1.2857142857142858,2.4000000000000004,1.5333333333333334,0.0,0.0,0.8999999999999986,12.894,13.475,-0.5809999999999995,1.3043478260869565
441804,2023-08-26T13:30:00Z,2,36,VfL Bochum 1848,4,Borussia Dortmund,1,1,Draw,3.0,1.0,bochum 1848,borussia dortmund,0,0,0,0,0,0,0.5,0,2.5,0,Normal,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,470000000.0,450000000.0,4.4,24.9,20000000.0,19.97,6.555555555555555,5.794444444444444,0.0,0.0,8.0,6.7,0.0,0.0,-208611111.1111111,0.556146572104019,-1.4444444444444446,0.8194444444444444,-0.9055555555555559,0.8648424543946932,0.0,0.0,1.2000000000000028,13.321,13.979,-0.6579999999999995,1.1313518696069031
441802,2023-08-26T16:30:00Z,2,18,Borussia Mönchengladbach,3,Bayer 04 Leverkusen,0,3,AwayWin,0.0,1.0,borussia monchengladbach,bayer 04 leverkusen,0,0,0,0,0,0,0.5,0,2.5,1,borussia monchengladbach vs bayer 04 leverkusen,250000000.0,240000000.0,4.2,26.0,10000000.0,19.34,620000000.0,580000000.0,6.9,25.2,40000000.0,20.25,0.0,4.4,0.0,0.0,7.0,4.9,0.0,0.0,-370000000.0,0.4032258064516129,-7.0,0.0,-0.5,0.8979591836734694,0.0,0.0,0.8000000000000007,13.537999999999998,14.174999999999999,-0.6370000000000005,0.0
441801,2023-08-27T13:30:00Z,2,15,1. FSV Mainz 05,19,Eintracht Frankfurt,1,1,Draw,1.0,0.0,1. fsv mainz 05,eintracht frankfurt,0,0,0,0,0,0,0.5,0,2.5,0,Normal,120000000.0,115000000.0,4.3,25.9,5000000.0,18.6,280000000.0,260000000.0,7.7,26.3,20000000.0,19.45,5.0,7.0,0.0,0.0,8.0,5.1,0.0,0.0,-160000000.0,0.42857142857142855,-3.0,0.625,1.9000000000000004,1.3725490196078431,0.0,0.0,-0.40000000000000213,13.02,13.614999999999998,-0.5949999999999989,0.7142857142857143
441798,2023-08-27T15:30:00Z,2,5,FC Bayern München,16,FC Augsburg,3,1,HomeWin,1.0,0.0,fc bayern munchen,fc augsburg,0,0,0,0,0,0,0.5,0,2.5,0,Normal,980000000.0,950000000.0,3.2,26.8,30000000.0,20.7,130000000.0,125000000.0,4.0,26.2,5000000.0,18.68,18.0,11.2,0.0,0.0,7.0,3.7,0.0,0.0,850000000.0,7.538461538461538,11.0,2.5714285714285716,7.499999999999999,3.0270270270270268,0.0,0.0,0.6000000000000014,14.489999999999998,13.075999999999999,1.4139999999999997,1.6071428571428572
441807,2023-09-01T18:30:00Z,3,4,Borussia Dortmund,44,1. FC Heidenheim 1846,2,2,Draw,0.0,1.0,borussia dortmund,1. fc heidenheim 1846,0,0,0,0,0,0,0.5,0,2.5,0,Normal,470000000.0,450000000.0,4.4,24.9,20000000.0,19.97,40000000.0,35000000.0,14.3,27.2,5000000.0,17.5,8.0,6.7,0.0,0.0,2.0,4.9,0.0,0.0,430000000.0,11.75,6.0,4.0,1.7999999999999998,1.3673469387755102,0.0,0.0,-2.3000000000000007,13.979,12.25,1.7289999999999992,1.1940298507462686
441814,2023-09-02T13:30:00Z,3,16,FC Augsburg,36,VfL Bochum 1848,2,2,Draw,2.0,0.0,fc augsburg,bochum 1848,0,0,0,0,0,0,0.5,0,2.5,0,Normal,130000000.0,125000000.0,4.0,26.2,5000000.0,18.68,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,7.0,3.7,0.0,0.0,6.555555555555555,5.794444444444444,0.0,0.0,-131388888.8888889,0.49734325185972367,0.44444444444444464,1.0677966101694916,-2.094444444444444,0.6385426653883031,0.0,0.0,0.09999999999999787,13.075999999999999,13.321,-0.245000000000001,1.8918918918918919
