id,utcDate,matchday,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name,score.fullTime.home,score.fullTime.away,result,home_form,away_form,home_norm,away_norm,home_current_value_eur,home_previous_value_eur,home_value_change_pct,home_squad_avg_age,home_absolute_change,home_log_current_value,away_current_value_eur,away_previous_value_eur,away_value_change_pct,away_squad_avg_age,away_absolute_change,away_log_current_value
540422,2025-08-31T17:30:00Z,2,1,1. FC Köln,17,SC Freiburg,4,1,HomeWin,3.0,3.0,1. fc koln,sc freiburg,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,180000000.0,170000000.0,5.9,26.5,10000000.0,19.01
540424,2024-08-02T00:00:00Z,0,722,1. FC Köln,1722,Hamburger SV,1,2,A,0.0,0.0,1. fc koln,hamburger sv,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540425,2024-08-10T00:00:00Z,0,723,Elversberg,1723,1. FC Köln,2,2,D,4.0,0.0,elversberg,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540426,2024-08-10T00:00:00Z,0,724,Hamburger SV,1724,Hertha,1,1,D,0.0,0.0,hamburger sv,hertha,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540427,2024-08-23T00:00:00Z,0,725,Hannover,1725,Hamburger SV,1,0,H,0.0,0.0,hannover,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540428,2024-08-24T00:00:00Z,0,726,1. FC Köln,1726,Braunschweig,5,0,H,3.0,0.0,1. fc koln,braunschweig,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540429,2024-08-31T00:00:00Z,0,727,Hamburger SV,1727,Preußen Münster,4,1,H,0.0,0.0,hamburger sv,preuen munster,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540430,2024-09-01T00:00:00Z,0,728,Schalke 04,1728,1. FC Köln,1,3,A,0.0,0.0,schalke 04,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540431,2024-09-14T00:00:00Z,0,729,1. FC Köln,1729,Magdeburg,1,2,A,0.0,0.0,1. fc koln,magdeburg,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540432,2024-09-15T00:00:00Z,0,730,Hamburger SV,1730,Regensburg,5,0,H,0.0,0.0,hamburger sv,regensburg,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540433,2024-09-21T00:00:00Z,0,731,Fortuna Dusseldorf,1731,1. FC Köln,2,2,D,0.0,0.0,fortuna dusseldorf,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540434,2024-09-21T00:00:00Z,0,732,Kaiserslautern,1732,Hamburger SV,2,2,D,0.0,0.0,kaiserslautern,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540435,2024-09-28T00:00:00Z,0,733,Hamburger SV,1733,Paderborn,2,2,D,0.0,0.0,hamburger sv,paderborn,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540436,2024-09-29T00:00:00Z,0,734,1. FC Köln,1734,Karlsruhe,4,4,D,0.0,0.0,1. fc koln,karlsruhe,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540437,2024-10-05T00:00:00Z,0,735,1. FC Köln,1735,Ulm,2,0,H,0.0,0.0,1. fc koln,ulm,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540438,2024-10-06T00:00:00Z,0,736,Fortuna Dusseldorf,1736,Hamburger SV,0,3,A,0.0,0.0,fortuna dusseldorf,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540439,2024-10-18T00:00:00Z,0,737,Darmstadt,1737,1. FC Köln,5,1,H,0.0,0.0,darmstadt,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540440,2024-10-20T00:00:00Z,0,738,Hamburger SV,1738,Magdeburg,3,1,H,0.0,0.0,hamburger sv,magdeburg,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540441,2024-10-25T00:00:00Z,0,739,1. FC Köln,1739,Paderborn,1,2,A,0.0,0.0,1. fc koln,paderborn,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540442,2024-10-26T00:00:00Z,0,740,Elversberg,1740,Hamburger SV,4,2,H,0.0,0.0,elversberg,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540443,2024-11-02T00:00:00Z,0,741,Hertha,1741,1. FC Köln,0,1,A,0.0,0.0,hertha,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540444,2024-11-03T00:00:00Z,0,742,Hamburger SV,1742,Nurnberg,1,1,D,0.0,0.0,hamburger sv,nurnberg,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540445,2024-11-08T00:00:00Z,0,743,Braunschweig,1743,Hamburger SV,3,1,H,0.0,0.0,braunschweig,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540446,2024-11-09T00:00:00Z,0,744,1. FC Köln,1744,Greuther Furth,1,0,H,0.0,0.0,1. fc koln,greuther furth,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540447,2024-11-22T00:00:00Z,0,745,Preußen Münster,1745,1. FC Köln,0,1,A,0.0,0.0,preuen munster,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540448,2024-11-23T00:00:00Z,0,746,Hamburger SV,1746,Schalke 04,2,2,D,0.0,0.0,hamburger sv,schalke 04,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540449,2024-11-30T00:00:00Z,0,747,1. FC Köln,1747,Hannover,2,2,D,0.0,0.0,1. fc koln,hannover,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540450,2024-12-01T00:00:00Z,0,748,Karlsruhe,1748,Hamburger SV,1,3,A,0.0,0.0,karlsruhe,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540451,2024-12-08T00:00:00Z,0,749,Hamburger SV,1749,Darmstadt,2,2,D,0.0,0.0,hamburger sv,darmstadt,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540452,2024-12-08T00:00:00Z,0,750,Regensburg,1750,1. FC Köln,0,1,A,0.0,0.0,regensburg,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540453,2024-12-14T00:00:00Z,0,751,Ulm,1751,Hamburger SV,1,1,D,0.0,0.0,ulm,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540454,2024-12-15T00:00:00Z,0,752,1. FC Köln,1752,Nurnberg,3,1,H,0.0,0.0,1. fc koln,nurnberg,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540455,2024-12-21T00:00:00Z,0,753,Hamburger SV,1753,Greuther Furth,5,0,H,0.0,0.0,hamburger sv,greuther furth,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540456,2024-12-22T00:00:00Z,0,754,Kaiserslautern,1754,1. FC Köln,0,1,A,0.0,0.0,kaiserslautern,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540457,2025-01-18T00:00:00Z,0,755,Hamburger SV,1755,1. FC Köln,1,0,H,0.0,0.0,hamburger sv,1. fc koln,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540458,2025-01-25T00:00:00Z,0,756,1. FC Köln,1756,Elversberg,1,0,H,0.0,0.0,1. fc koln,elversberg,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540459,2025-01-25T00:00:00Z,0,757,Hertha,1757,Hamburger SV,2,3,A,0.0,0.0,hertha,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540460,2025-02-01T00:00:00Z,0,758,Braunschweig,1758,1. FC Köln,1,2,A,0.0,0.0,braunschweig,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540461,2025-02-02T00:00:00Z,0,759,Hamburger SV,1759,Hannover,2,2,D,0.0,0.0,hamburger sv,hannover,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540462,2025-02-07T00:00:00Z,0,760,Preußen Münster,1760,Hamburger SV,1,2,A,0.0,0.0,preuen munster,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540463,2025-02-09T00:00:00Z,0,761,1. FC Köln,1761,Schalke 04,1,0,H,0.0,0.0,1. fc koln,schalke 04,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540464,2025-02-14T00:00:00Z,0,762,Magdeburg,1762,1. FC Köln,3,0,H,0.0,0.0,magdeburg,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
540465,2025-02-16T00:00:00Z,0,763,Regensburg,1763,Hamburger SV,1,1,D,0.0,0.0,regensburg,hamburger sv,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06
540466,2025-02-21T00:00:00Z,0,764,Hamburger SV,1764,Kaiserslautern,3,0,H,0.0,0.0,hamburger sv,kaiserslautern,70000000.0,65000000.0,7.7,26.8,5000000.0,18.06,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540467,2025-02-23T00:00:00Z,0,765,1. FC Köln,1765,Fortuna Dusseldorf,1,1,D,0.0,0.0,1. fc koln,fortuna dusseldorf,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03
540468,2025-03-01T00:00:00Z,0,766,Karlsruhe,1766,1. FC Köln,1,0,H,0.0,0.0,karlsruhe,1. fc koln,261388888.8888889,248611111.1111111,6.305555555555555,26.1,12777777.777777778,19.03,100000000.0,95000000.0,5.3,26.7,5000000.0,18.42
