iter	MultiClass
0	1.075556042
1	1.053402547
2	1.031959121
3	1.013088466
4	0.9953662049
5	0.9802908791
6	0.9649184126
7	0.9501478861
8	0.9386132783
9	0.9262926465
10	0.9154986572
11	0.9032413583
12	0.8911879886
13	0.8810283659
14	0.8722241003
15	0.8630484504
16	0.8546586064
17	0.847081972
18	0.837974606
19	0.8294511465
20	0.8205849345
21	0.8119297262
22	0.8048001446
23	0.7954941676
24	0.7873626926
25	0.7819860124
26	0.7743006741
27	0.767061134
28	0.7591560609
29	0.7522799821
30	0.7440477022
31	0.7381003742
32	0.7325624464
33	0.7290540334
34	0.7248521512
35	0.7177195829
36	0.712838594
37	0.7084902418
38	0.7025288971
39	0.6959044284
40	0.6919077399
41	0.6876452623
42	0.6836377743
43	0.6795770883
44	0.6768318905
45	0.6727872026
46	0.6688377246
47	0.6624375622
48	0.6563949995
49	0.6513654623
50	0.6462968441
51	0.6407369652
52	0.6371607497
53	0.629030565
54	0.6265248623
55	0.6231987248
56	0.6199460738
57	0.6132853014
58	0.6101191845
59	0.6067620557
60	0.6045689941
61	0.6010339559
62	0.5972913679
63	0.5951615622
64	0.5918752529
65	0.5860869223
66	0.5800071537
67	0.5767484409
68	0.5733437642
69	0.5705422807
70	0.5651974357
71	0.5621147167
72	0.5583011684
73	0.5543860332
74	0.5503078657
75	0.5483658413
76	0.5468288021
77	0.5449079908
78	0.5427285269
79	0.5402268861
80	0.5383874806
81	0.5356984678
82	0.5322420578
83	0.5280941135
84	0.5241230223
85	0.5221228989
86	0.5183007503
87	0.5155258077
88	0.5133975102
89	0.5091809495
90	0.5060429244
91	0.5039121172
92	0.5005411022
93	0.497774115
94	0.4959499142
95	0.4947087521
96	0.4923351947
97	0.4888635891
98	0.485543595
99	0.482467724
100	0.4808314997
101	0.4788767379
102	0.4750832644
103	0.4719550636
104	0.4702947049
105	0.4662743464
106	0.464374502
107	0.462851602
108	0.4611487371
109	0.4570303629
110	0.4537196723
111	0.4515596393
112	0.4491606162
113	0.4458917399
114	0.4420018295
115	0.4401065735
116	0.4383868037
117	0.4368130991
118	0.4341859432
119	0.4312470695
120	0.4294808269
121	0.4263635051
122	0.4248375855
123	0.4226872175
124	0.420753579
125	0.4188089342
126	0.4167163299
127	0.4140956596
128	0.4123795297
129	0.4099065381
130	0.4080073541
131	0.4047026912
132	0.4031855264
133	0.4017310569
134	0.3993738223
135	0.3976730212
136	0.3959943337
137	0.3944489613
138	0.3926113693
139	0.3914198425
140	0.3897802399
141	0.3879075117
142	0.3863062754
143	0.384655737
144	0.3833891912
145	0.3813350871
146	0.3792900226
147	0.3779096653
148	0.3760670453
149	0.3737475585
150	0.370779129
151	0.3686182107
152	0.3675679637
153	0.3653089612
154	0.3636191937
155	0.361899443
156	0.3595918001
157	0.3588719526
158	0.3575379672
159	0.3557006153
160	0.3546778928
161	0.352645646
162	0.3509169965
163	0.3490437181
164	0.3481342757
165	0.3465129439
166	0.3454383848
167	0.3437977693
168	0.3417848654
169	0.3407157132
170	0.3396491931
171	0.3382408175
172	0.3365762801
173	0.3353243044
174	0.3341649374
175	0.3327171471
176	0.3311781317
177	0.3289606696
178	0.3281994945
179	0.3265143198
180	0.3254820002
181	0.3242827031
182	0.3218202495
183	0.3202420777
184	0.3188973448
185	0.3177184698
186	0.316811561
187	0.3153087253
188	0.314060686
189	0.312002671
190	0.3103610032
191	0.3088258386
192	0.3074351728
193	0.3061605609
194	0.3052040502
195	0.3041261032
196	0.3028745694
197	0.3022033907
198	0.3011023138
199	0.2989088323
200	0.2973554854
201	0.2957982612
202	0.2945914798
203	0.2939255578
204	0.292594435
205	0.2909346712
206	0.2903294252
207	0.2888974835
208	0.2874686449
209	0.2868153001
210	0.2855601094
211	0.2839811191
212	0.2829590269
213	0.282484075
214	0.2817745437
215	0.2809844972
216	0.2802476876
217	0.2786903337
218	0.2778826645
219	0.2763078681
220	0.2751089469
221	0.2737759397
222	0.2722708751
223	0.2701535461
224	0.2695079498
225	0.2680431156
226	0.2673016221
227	0.2664184687
228	0.2652261717
229	0.2642346469
230	0.2629701451
231	0.2619794037
232	0.2605513483
233	0.2600987398
234	0.2587188726
235	0.2580239357
236	0.2569045013
237	0.2556662965
238	0.2546378045
239	0.2535589814
240	0.2523654531
241	0.2516963644
242	0.2506163947
