iter	MultiClass
243	0.2499405364
244	0.2492944287
245	0.248144328
246	0.2470944657
247	0.2456598471
248	0.2446182554
249	0.2439225659
250	0.2431127371
251	0.2421285519
252	0.2411063902
253	0.2399179884
254	0.2389362609
255	0.2378167335
256	0.2362258336
257	0.235737718
258	0.2347445385
259	0.2338620878
260	0.2330813524
261	0.2327132394
262	0.2315711191
263	0.230428926
264	0.2295028783
265	0.2284050227
266	0.2274060652
267	0.2263653558
268	0.2259251915
269	0.2250507163
270	0.2246190834
271	0.2240649711
272	0.2237137151
273	0.2232182101
274	0.2227383343
275	0.2212379398
276	0.2204969019
277	0.2195557806
278	0.2187174764
279	0.2177340472
280	0.2173140892
281	0.2164153835
282	0.2154190891
283	0.2148731913
284	0.2141266625
285	0.2135256303
286	0.2128140426
287	0.2120596125
288	0.211175923
289	0.2103573676
290	0.2096745594
291	0.2089199799
292	0.2081495803
293	0.2075277094
294	0.2066625315
295	0.2052281542
296	0.2045256136
297	0.2039230215
298	0.2029891635
299	0.2023688951
300	0.2015407374
301	0.2002801768
302	0.1994324476
303	0.1987735424
304	0.1981949333
305	0.1970028315
306	0.1961540762
307	0.1951475864
308	0.1945558439
309	0.1939598038
310	0.1927823327
311	0.1920386077
312	0.1914467396
313	0.1906906703
314	0.1901090955
315	0.1896300301
316	0.1887080272
317	0.1880143719
318	0.1875289576
319	0.1867846269
320	0.1858963566
321	0.1848148917
322	0.1840817253
323	0.18357209
324	0.1830407453
325	0.1821512628
326	0.181785942
327	0.1813076556
328	0.1805964971
329	0.1799940844
330	0.179448532
331	0.1790751665
332	0.1784160544
333	0.1781793814
334	0.1778345297
335	0.1774263724
336	0.1770005877
337	0.1763387552
338	0.175808331
339	0.1753223818
340	0.1748130055
341	0.1744523329
342	0.1741009544
343	0.1736669282
344	0.1728137242
345	0.1722638011
346	0.1718997261
347	0.1714696129
348	0.1708062501
349	0.1702517386
350	0.1697012161
351	0.1690950301
352	0.1681683352
353	0.1679091338
354	0.1674671913
355	0.1664304933
356	0.1655832179
357	0.1650365896
358	0.1647312153
359	0.1643334104
360	0.1635048611
361	0.1631365404
362	0.162652835
363	0.1624262689
364	0.1618201838
365	0.1615352143
366	0.1613301556
367	0.1612393115
368	0.160861677
369	0.1597427108
370	0.159267314
371	0.1586654538
372	0.15772653
373	0.1571538862
374	0.1564037926
375	0.1561917956
376	0.1556566849
377	0.1551604707
378	0.1550644534
379	0.1545352841
380	0.1543696639
381	0.1540173702
382	0.1536167205
383	0.1531334047
384	0.1527391956
385	0.1526529275
386	0.1522496865
387	0.1517336338
388	0.1515329729
389	0.151078444
390	0.1508408047
391	0.1500811653
392	0.1495841672
393	0.1489670039
394	0.1484440162
395	0.1479248097
396	0.1476094116
397	0.1471063705
398	0.1469983233
399	0.146514248
400	0.1463027199
401	0.1458484147
402	0.1456139913
403	0.145135866
404	0.1447124704
405	0.1444912036
406	0.1443817861
407	0.1438952157
408	0.1436019123
409	0.1428757079
410	0.1426206692
411	0.1423708345
412	0.1422810168
413	0.1419072712
414	0.141251004
415	0.1409616784
416	0.1403828564
417	0.1399999266
418	0.1398806995
419	0.1394630745
420	0.1389693511
421	0.1384941084
422	0.1383067588
423	0.1379132289
424	0.1377773168
425	0.1375927332
426	0.1371524996
427	0.1367645595
428	0.1364206956
429	0.1361518562
430	0.1360256762
431	0.1358724374
432	0.1355834597
433	0.1355105106
434	0.135369632
435	0.1351510325
436	0.1349543769
437	0.1347006667
438	0.1346146264
439	0.1343504991
440	0.1342200409
441	0.1340750282
442	0.133624422
443	0.1333223924
444	0.1330112551
445	0.1325610176
446	0.1324906556
447	0.1323398783
448	0.1322223471
449	0.1317619876
450	0.1315373861
451	0.1314418638
452	0.1313054912
453	0.131091336
454	0.1308491333
455	0.1306198194
456	0.1304770139
457	0.1302610477
458	0.1299486093
459	0.129883475
460	0.12984522
461	0.1294624973
462	0.1291839526
463	0.129045983
464	0.1285889273
465	0.1282296957
466	0.1278310215
467	0.1276209194
468	0.1274758831
469	0.1274174908
470	0.1268124817
471	0.1267207318
472	0.1263724606
473	0.1261090822
474	0.1260143244
475	0.1257144648
476	0.1254437771
477	0.1248823155
478	0.1244836551
479	0.1241630893
480	0.1236736987
481	0.1233893721
482	0.1232024454
483	0.1231194026
484	0.1227692414
485	0.1226579747
486	0.1224825288
487	0.1223865786
488	0.1222748152
489	0.1221624183
490	0.1217398093
491	0.1216934094
492	0.1213712722
493	0.1212516424
494	0.121142531
495	0.1209895556
496	0.1209045466
497	0.120578681
498	0.1204847398
499	0.1201831639
