squad_player,squad_player_norm,fbref_player,fbref_player_norm,score,method,status
Daniel Elfadli,daniel elfadli,Daniel Elfadli,daniel elfadli,100.0,exact_match,matched
Warmed Omari,warmed omari,Warmed Omari,warmed omari,100.0,exact_match,matched
Aboubaka Soumahoro,aboubaka soumahoro,Aboubaka Soumahoro,aboubaka soumahoro,100.0,exact_match,matched
Miro Muheim,miro muheim,Miro Muheim,miro muheim,100.0,exact_match,matched
Noah Katterbach,noah katterbach,Noah Katterbach,noah katterbach,100.0,exact_match,matched
Giorgi Gocholeishvili,giorgi gocholeishvili,Giorgi Gocholeishvili,giorgi gocholeishvili,100.0,exact_match,matched
William Mikelbrencis,william mikelbrencis,William Mikelbrencis,william mikelbrencis,100.0,exact_match,matched
Silvan Hefti,silvan hefti,Silvan Hefti,silvan hefti,100.0,exact_match,matched
Jonas Meffert,jonas meffert,Jonas Meffert,jonas meffert,100.0,exact_match,matched
Albert Sambi Lokonga,albert sambi lokonga,Albert Sambi Lokonga,albert sambi lokonga,100.0,exact_match,matched
Nicolás Capaldo,nicolas capaldo,Nicolás Capaldo,nicolas capaldo,100.0,exact_match,matched
Nicolai Remberg,nicolai remberg,Nicolai Remberg,nicolai remberg,100.0,exact_match,matched
Fábio Vieira,fabio vieira,Fabio Vieira,fabio vieira,100.0,exact_match,matched
Immanuel Pherai,immanuel pherai,Immanuel Pherai,immanuel pherai,100.0,manual_mapping,matched
Jean-Luc Dompé,jeanluc dompe,Jean-Luc Dompé,jeanluc dompe,100.0,exact_match,matched
Alexander Røssing-Lelesiit,alexander rossinglelesiit,Alexander Røssing-Lelesiit,alexander rossinglelesiit,100.0,exact_match,matched
Fabio Baldé,fabio balde,Fabio Baldé,fabio balde,100.0,exact_match,matched
Rayan Philippe,rayan philippe,Rayan Philippe,rayan philippe,100.0,exact_match,matched
Emir Sahiti,emir sahiti,Emir Sahiti,emir sahiti,100.0,exact_match,matched
Bakery Jatta,bakery jatta,Bakery Jatta,bakery jatta,100.0,manual_mapping,matched
Ransford Königsdörffer,ransford koenigsdoerffer,Ransford Königsdörffer,ransford koenigsdoerffer,100.0,exact_match,matched
Yussuf Poulsen,yussuf poulsen,Yussuf Poulsen,yussuf poulsen,100.0,manual_mapping,matched
Robert Glatzel,robert glatzel,Robert Glatzel,robert glatzel,100.0,manual_mapping,matched
Leon Klanac,leon klanac,,,63.16,fuzzy_partial_ratio,unmatched
Min-jae Kim,minjae kim,Kim Min-jae,kim minjae,100.0,fuzzy_token_sort_ratio,matched
Janis Blaswich,janis blaswich,,,60.0,fuzzy_partial_ratio,unmatched
Niklas Lomb,niklas lomb,,,57.14,fuzzy_partial_ratio,unmatched
Equi Fernández,equi fernandez,Ezequiél Fernández,ezequiel fernandez,87.5,fuzzy_ratio,matched
Alejo Sarco,alejo sarco,,,66.67,fuzzy_partial_ratio,unmatched
Patrick Drewes,patrick drewes,,,60.0,fuzzy_partial_ratio,unmatched
Silas Ostrzinski,silas ostrzinski,,,60.0,fuzzy_partial_ratio,unmatched
Fábio Silva,fabio silva,,,52.63,fuzzy_partial_ratio,unmatched
Leopold Zingerle,leopold zingerle,,,48.28,fuzzy_partial_ratio,unmatched
Max Finkgräfe,max finkgraefe,,,48.0,fuzzy_partial_ratio,unmatched
Joyeux Masanka Bungi,joyeux masanka bungi,,,51.85,fuzzy_partial_ratio,unmatched
Andrija Maksimovic,andrija maksimovic,,,66.67,fuzzy_partial_ratio,unmatched
Florian Hellstern,florian hellstern,,,61.54,fuzzy_partial_ratio,unmatched
Stefan Drljaca,stefan drljaca,,,57.14,fuzzy_token_set_ratio,unmatched
Jeff Chabot,jeff chabot,,julian chabot,77.78,fuzzy_partial_ratio,manual_review
Mirza Catovic,mirza catovic,,,70.0,fuzzy_partial_ratio,unmatched
Chema Andrés,chema andres,Chema,chema,100.0,fuzzy_partial_ratio,matched
Noah Darvich,noah darvich,,,60.87,fuzzy_partial_ratio,unmatched
Silas,silas,Silas Katompa,silas katompa,100.0,fuzzy_partial_ratio,matched
Amil Siljevic,amil siljevic,,,52.17,fuzzy_partial_ratio,unmatched
Noah Fenyö,noah fenyoe,,,66.67,fuzzy_partial_ratio,unmatched
Jean-Mattéo Bahoya,jeanmatteo bahoya,Jean Mattéo Bahoya,jean matteo bahoya,97.14,fuzzy_ratio,matched
Lúkas Petersson,lukas petersson,,,56.0,fuzzy_partial_ratio,unmatched
Kelven Frees,kelven frees,,,58.82,fuzzy_partial_ratio,unmatched
Hennes Behrens,hennes behrens,Hannes Behrens,hannes behrens,92.86,fuzzy_ratio,matched
Luka Duric,luka duric,,,57.14,fuzzy_partial_ratio,unmatched
Deniz Zeitler,deniz zeitler,,,69.23,fuzzy_ratio,unmatched
Precious Benjamin,precious benjamin,,,56.0,fuzzy_partial_ratio,unmatched
Jannik Huth,jannik huth,,,70.59,fuzzy_partial_ratio,unmatched
Bruno Ogbus,bruno ogbus,,ifechukwu ogbus,77.78,fuzzy_partial_ratio,manual_review
Daniel-Kofi Kyereh,danielkofi kyereh,,,57.14,fuzzy_token_set_ratio,unmatched
Niklas Beste,niklas beste,Jan-Niklas Beste,janniklas beste,100.0,fuzzy_partial_ratio,matched
Paul Tschernuth,paul tschernuth,,,63.64,fuzzy_partial_ratio,unmatched
Leart Paçarada,leart pacarada,Leart Paqarada,leart paqarada,92.86,fuzzy_ratio,matched
Nick Rothweiler,nick rothweiler,,,57.14,fuzzy_partial_ratio,unmatched
Karl Hein,karl hein,Karl Jakob Hein,karl jakob hein,100.0,fuzzy_token_set_ratio,matched
Markus Kolke,markus kolke,,,55.56,fuzzy_partial_ratio,unmatched
Stefan Smarkalev,stefan smarkalev,,,52.17,fuzzy_partial_ratio,unmatched
Maximilian Wöber,maximilian woeber,,keke maximilian topp,75.0,fuzzy_partial_ratio,manual_review
Karim Coulibaly,karim coulibaly,,abdoul coulibaly,80.0,fuzzy_partial_ratio,manual_review
Mick Schmetgens,mick schmetgens,,,66.67,fuzzy_partial_ratio,unmatched
Wesley Adeh,wesley adeh,,,60.0,fuzzy_partial_ratio,unmatched
Keke Topp,keke topp,Keke Maximilian Topp,keke maximilian topp,100.0,fuzzy_token_set_ratio,matched
Salim Musah,salim musah,,,57.14,fuzzy_partial_ratio,unmatched
Tiago Pereira Cardoso,tiago pereira cardoso,Tiago Cardoso,tiago cardoso,100.0,fuzzy_token_set_ratio,matched
Niklas Swider,niklas swider,,,60.87,fuzzy_partial_ratio,unmatched
Jens Castrop,jens castrop,Castrop Jens,castrop jens,100.0,fuzzy_token_sort_ratio,matched
Oscar Fraulo,oscar fraulo,,,57.14,fuzzy_partial_ratio,unmatched
Giovanni Reyna,giovanni reyna,Gio Reyna,gio reyna,87.5,fuzzy_partial_ratio,matched
Wael Mohya,wael mohya,,,47.06,fuzzy_partial_ratio,unmatched
Jakub Zielinski,jakub zielinski,,jakub kaminski,75.86,fuzzy_ratio,manual_review
Mathys Angély,mathys angely,,,56.0,fuzzy_partial_ratio,unmatched
Saël Kumbedi,sael kumbedi,,,50.0,fuzzy_partial_ratio,unmatched
Vini Souza,vini souza,,vinicius souza,83.33,fuzzy_ratio,manual_review
Daniel Klein,daniel klein,,,54.55,fuzzy_partial_ratio,unmatched
Felix Meiser,felix meiser,,,58.82,fuzzy_partial_ratio,unmatched
Dimitrios Giannoulis,dimitrios giannoulis,Dimitris Giannoulis,dimitris giannoulis,97.44,fuzzy_ratio,matched
Oliver Sorg,oliver sorg,,,52.63,fuzzy_partial_ratio,unmatched
Frederik Rönnow,frederik roennow,Frederik Rønnow,frederik ronnow,96.77,fuzzy_ratio,matched
Matheo Raab,matheo raab,,,57.14,fuzzy_partial_ratio,unmatched
Carl Klaus,carl klaus,,,62.5,fuzzy_partial_ratio,unmatched
Stanley Nsoki,stanley nsoki,,,53.85,fuzzy_partial_ratio,unmatched
Oluwaseun Ogbemudia,oluwaseun ogbemudia,,,57.14,fuzzy_partial_ratio,unmatched
Andrik Markgraf,andrik markgraf,,,62.5,fuzzy_partial_ratio,unmatched
Woo-yeong Jeong,wooyeong jeong,Jeong Woo-yeong,jeong wooyeong,100.0,fuzzy_token_sort_ratio,matched
Livan Burcu,livan burcu,,,66.67,fuzzy_partial_ratio,unmatched
Dmytro Bogdanov,dmytro bogdanov,,,59.26,fuzzy_partial_ratio,unmatched
Niclas Thiede,niclas thiede,,,58.33,fuzzy_partial_ratio,unmatched
Hugo Rölleke,hugo roelleke,,,54.55,fuzzy_partial_ratio,unmatched
Leandro Morgalla,leandro morgalla,,,55.17,fuzzy_partial_ratio,unmatched
Colin Kleine-Bekel,colin kleinebekel,,,50.0,fuzzy_partial_ratio,unmatched
Kevin Vogt,kevin vogt,,kevin stoeger,77.78,fuzzy_partial_ratio,manual_review
Philipp Strompf,philipp strompf,,philipp hofmann,76.92,fuzzy_partial_ratio,manual_review
Darnell Keumo,darnell keumo,,,58.33,fuzzy_partial_ratio,unmatched
Cajetan Lenz,cajetan lenz,,,48.0,fuzzy_ratio,unmatched
Kjell Wätjen,kjell waetjen,,,57.14,fuzzy_partial_ratio,unmatched
Romario Rösch,romario roesch,,,66.67,fuzzy_partial_ratio,unmatched
Francis Onyeka,francis onyeka,,,50.0,fuzzy_partial_ratio,unmatched
Lirim Jashari,lirim jashari,,,58.33,fuzzy_partial_ratio,unmatched
Alessandro Crimaldi,alessandro crimaldi,,,51.61,fuzzy_token_sort_ratio,unmatched
Farid Alfa-Ruprecht,farid alfaruprecht,,,50.0,fuzzy_partial_ratio,unmatched
Ibrahim Sissoko,ibrahim sissoko,Ibrahima Sissoko,ibrahima sissoko,96.77,fuzzy_ratio,matched
Michael Obafemi,michael obafemi,,,60.87,fuzzy_partial_ratio,unmatched
Mathis Clairicia,mathis clairicia,,,58.82,fuzzy_partial_ratio,unmatched
Ron-Robert Zieler,ronrobert zieler,,,55.56,fuzzy_partial_ratio,unmatched
Matthias Köbbing,matthias koebbing,,mathias olesen,76.92,fuzzy_partial_ratio,manual_review
Fayssal Harchaoui,fayssal harchaoui,,,50.0,fuzzy_partial_ratio,unmatched
Emin Kujovic,emin kujovic,,,55.56,fuzzy_partial_ratio,unmatched
Malek El Mala,malek el mala,,said el mala,80.0,fuzzy_partial_ratio,manual_review
Konstantin Schopp,konstantin schopp,,,72.73,fuzzy_partial_ratio,unmatched
Maxim Dal,maxim dal,Maxim Leitsch,maxim leitsch,87.5,fuzzy_partial_ratio,matched
Kasey Bos,kasey bos,,,58.82,fuzzy_partial_ratio,unmatched
Niklas Tauer,niklas tauer,,nikolas veratschnig,78.26,fuzzy_partial_ratio,manual_review
Daniel Gleiber,daniel gleiber,,daniel batz,77.78,fuzzy_partial_ratio,manual_review
Jae-sung Lee,jaesung lee,Lee Jae-sung,lee jaesung,100.0,fuzzy_token_sort_ratio,matched
Jonas Krumrey,jonas krumrey,,,55.56,fuzzy_partial_ratio,unmatched
Marcel Engelhardt,marcel engelhardt,,,63.64,fuzzy_partial_ratio,unmatched
Lio Rothenhagen,lio rothenhagen,,,52.63,fuzzy_partial_ratio,unmatched
Tyler Doğan,tyler dogan,,,47.62,fuzzy_partial_ratio,unmatched
Mladen Cvjetinovic,mladen cvjetinovic,,,63.16,fuzzy_partial_ratio,unmatched
Frederik Roslyng,frederik roslyng,,,50.0,fuzzy_partial_ratio,unmatched
Leon Parduzi,leon parduzi,,,50.0,fuzzy_partial_ratio,unmatched
Niklas Niehoff,niklas niehoff,,,52.63,fuzzy_partial_ratio,unmatched
Kasper Davidsen,kasper davidsen,,,70.59,fuzzy_partial_ratio,unmatched
Robert Wagner,robert wagner,,,60.0,fuzzy_partial_ratio,unmatched
Stefan Schwab,stefan schwab,,,57.14,fuzzy_partial_ratio,unmatched
Hamza Muqaj,hamza muqaj,,,50.0,fuzzy_partial_ratio,unmatched
Jonas Therkelsen,jonas therkelsen,,,55.56,fuzzy_partial_ratio,unmatched
Louis Köster,louis koester,,,52.17,fuzzy_partial_ratio,unmatched
Adrián Kaprálik,adrian kapralik,,,55.56,fuzzy_partial_ratio,unmatched
Luca Prasse,luca prasse,,,62.5,fuzzy_partial_ratio,unmatched
Marcus Müller,marcus mueller,,,60.87,fuzzy_partial_ratio,unmatched
Ben Voll,ben voll,Ben Alexander Voll,ben alexander voll,100.0,fuzzy_token_set_ratio,matched
Simon Spari,simon spari,,,58.82,fuzzy_partial_ratio,unmatched
Adam Dzwigala,adam dzwigala,Adam Dźwigała,adam dzwigaa,96.0,fuzzy_ratio,matched
Jannik Robatsch,jannik robatsch,,,50.0,fuzzy_partial_ratio,unmatched
Fin Stevens,fin stevens,Finley Stevens,finley stevens,88.0,fuzzy_ratio,matched
Marwin Schmitz,marwin schmitz,,,66.67,fuzzy_partial_ratio,unmatched
Joel Chima Fujita,joel chima fujita,Joel Fujita,joel fujita,100.0,fuzzy_token_set_ratio,matched
Nick Schmidt,nick schmidt,,,63.64,fuzzy_ratio,unmatched
Romeo Aigbekaen,romeo aigbekaen,,,58.33,fuzzy_partial_ratio,unmatched
Ricky-Jade Jones,rickyjade jones,,,57.14,fuzzy_partial_ratio,unmatched
Daniel Peretz,daniel peretz,,daniel elfadli,76.19,fuzzy_partial_ratio,manual_review
Hannes Hermann,hannes hermann,,,61.54,fuzzy_partial_ratio,unmatched
Fernando Dickes,fernando dickes,,daniel heuer fernandes,75.0,fuzzy_partial_ratio,manual_review
Gui Ramos,gui ramos,,guilherme ramos,80.0,fuzzy_partial_ratio,manual_review
