squad_player,squad_player_norm,fbref_player,fbref_player_norm,score,method,status
El Chadaille Bitshiabu,el chadaille bitshiabu,El Chadaille Bitshiabu,el chadaille bitshiabu,100.0,exact_match,matched
Willi Orbán,willi orban,Willi Orban,willi orban,100.0,manual_mapping,matched
Lukas Klostermann,lukas klostermann,Lukas Klostermann,lukas klostermann,100.0,exact_match,matched
David Raum,david raum,David Raum,david raum,100.0,manual_mapping,matched
Benjamin Henrichs,benjamin henrichs,Benjamin Henrichs,benjamin henrichs,100.0,manual_mapping,matched
Kosta Nedeljkovic,kosta nedeljkovic,Kosta Nedeljković,kosta nedeljkovic,100.0,exact_match,matched
Ridle Baku,ridle baku,Ridle Baku,ridle baku,100.0,manual_mapping,matched
Nicolas Seiwald,nicolas seiwald,Nicolas Seiwald,nicolas seiwald,100.0,exact_match,matched
Amadou Haidara,amadou haidara,Amadou Haidara,amadou haidara,100.0,manual_mapping,matched
Ezechiel Banzuzi,ezechiel banzuzi,Ezechiel Banzuzi,ezechiel banzuzi,100.0,exact_match,matched
Xaver Schlager,xaver schlager,Xaver Schlager,xaver schlager,100.0,exact_match,matched
Assan Ouédraogo,assan ouedraogo,Assan Ouedraogo,assan ouedraogo,100.0,exact_match,matched
Kevin Kampl,kevin kampl,Kevin Kampl,kevin kampl,100.0,manual_mapping,matched
Christoph Baumgartner,christoph baumgartner,Christoph Baumgartner,christoph baumgartner,100.0,manual_mapping,matched
Viggo Gebel,viggo gebel,Viggo Gebel,viggo gebel,100.0,exact_match,matched
Antonio Nusa,antonio nusa,Antonio Nusa,antonio nusa,100.0,exact_match,matched
Timo Werner,timo werner,Timo Werner,timo werner,100.0,exact_match,matched
Tidiam Gomis,tidiam gomis,Tidiam Gomis,tidiam gomis,100.0,exact_match,matched
Yan Diomande,yan diomande,Yan Diomandé,yan diomande,100.0,exact_match,matched
Johan Bakayoko,johan bakayoko,Johan Bakayoko,johan bakayoko,100.0,exact_match,matched
Conrad Harder,conrad harder,Conrad Harder,conrad harder,100.0,exact_match,matched
Rômulo,romulo,Rômulo,romulo,100.0,exact_match,matched
Alexander Nübel,alexander nuebel,Alexander Nübel,alexander nuebel,100.0,exact_match,matched
Fabian Bredlow,fabian bredlow,Fabian Bredlow,fabian bredlow,100.0,exact_match,matched
Finn Jeltsch,finn jeltsch,Finn Jeltsch,finn jeltsch,100.0,exact_match,matched
Ameen Al-Dakhil,ameen aldakhil,Ameen Al-Dakhil,ameen aldakhil,100.0,exact_match,matched
Luca Jaquez,luca jaquez,Luca Jaquez,luca jaquez,100.0,exact_match,matched
Ramon Hendriks,ramon hendriks,Ramon Hendriks,ramon hendriks,100.0,exact_match,matched
Dan-Axel Zagadou,danaxel zagadou,Dan-Axel Zagadou,danaxel zagadou,100.0,exact_match,matched
Maximilian Mittelstädt,maximilian mittelstaedt,Maximilian Mittelstädt,maximilian mittelstaedt,100.0,exact_match,matched
Josha Vagnoman,josha vagnoman,Josha Vagnoman,josha vagnoman,100.0,exact_match,matched
Lorenz Assignon,lorenz assignon,Lorenz Assignon,lorenz assignon,100.0,exact_match,matched
Leonidas Stergiou,leonidas stergiou,Leonidas Stergiou,leonidas stergiou,100.0,exact_match,matched
Pascal Stenzel,pascal stenzel,Pascal Stenzel,pascal stenzel,100.0,exact_match,matched
Angelo Stiller,angelo stiller,Angelo Stiller,angelo stiller,100.0,exact_match,matched
Atakan Karazor,atakan karazor,Atakan Karazor,atakan karazor,100.0,exact_match,matched
Yannik Keitel,yannik keitel,Yannik Keitel,yannik keitel,100.0,exact_match,matched
Nikolas Nartey,nikolas nartey,Nikolas Nartey,nikolas nartey,100.0,exact_match,matched
Bilal El Khannouss,bilal el khannouss,Bilal El Khannouss,bilal el khannouss,100.0,exact_match,matched
Chris Führich,chris fuehrich,Chris Führich,chris fuehrich,100.0,exact_match,matched
Justin Diehl,justin diehl,Justin Diehl,justin diehl,100.0,exact_match,matched
Jamie Leweling,jamie leweling,Jamie Leweling,jamie leweling,100.0,exact_match,matched
Badredine Bouanani,badredine bouanani,Badredine Bouanani,badredine bouanani,100.0,exact_match,matched
Lazar Jovanovic,lazar jovanovic,Lazar Jovanović,lazar jovanovic,100.0,exact_match,matched
Ermedin Demirovic,ermedin demirovic,Ermedin Demirović,ermedin demirovic,100.0,exact_match,matched
Deniz Undav,deniz undav,Deniz Undav,deniz undav,100.0,exact_match,matched
Tiago Tomás,tiago tomas,Tiago Tomás,tiago tomas,100.0,exact_match,matched
Michael Zetterer,michael zetterer,Michael Zetterer,michael zetterer,100.0,exact_match,matched
Kauã Santos,kaua santos,Kauã Santos,kaua santos,100.0,exact_match,matched
Jens Grahl,jens grahl,Jens Grahl,jens grahl,100.0,exact_match,matched
Arthur Theate,arthur theate,Arthur Theate,arthur theate,100.0,exact_match,matched
Robin Koch,robin koch,Robin Koch,robin koch,100.0,exact_match,matched
Nnamdi Collins,nnamdi collins,Nnamdi Collins,nnamdi collins,100.0,exact_match,matched
Aurèle Amenda,aurele amenda,Aurele Amenda,aurele amenda,100.0,exact_match,matched
Nathaniel Brown,nathaniel brown,Nathaniel Brown,nathaniel brown,100.0,exact_match,matched
Rasmus Kristensen,rasmus kristensen,Rasmus Kristensen,rasmus kristensen,100.0,exact_match,matched
Elias Baum,elias baum,Elias Baum,elias baum,100.0,exact_match,matched
Aurélio Buta,aurelio buta,Aurélio Buta,aurelio buta,100.0,exact_match,matched
Timothy Chandler,timothy chandler,Timothy Chandler,timothy chandler,100.0,exact_match,matched
Ellyes Skhiri,ellyes skhiri,Ellyes Skhiri,ellyes skhiri,100.0,exact_match,matched
Hugo Larsson,hugo larsson,Hugo Larsson,hugo larsson,100.0,exact_match,matched
Oscar Højlund,oscar hojlund,Oscar Højlund,oscar hojlund,100.0,exact_match,matched
Mahmoud Dahoud,mahmoud dahoud,Mahmoud Dahoud,mahmoud dahoud,100.0,exact_match,matched
Can Uzun,can uzun,Can Uzun,can uzun,100.0,exact_match,matched
Farès Chaïbi,fares chaibi,Fares Chaïbi,fares chaibi,100.0,exact_match,matched
Mario Götze,mario goetze,Mario Götze,mario goetze,100.0,exact_match,matched
Ritsu Doan,ritsu doan,Ritsu Doan,ritsu doan,100.0,exact_match,matched
Ansgar Knauff,ansgar knauff,Ansgar Knauff,ansgar knauff,100.0,manual_mapping,matched
Jonathan Burkardt,jonathan burkardt,Jonathan Burkardt,jonathan burkardt,100.0,manual_mapping,matched
Elye Wahi,elye wahi,Elye Wahi,elye wahi,100.0,exact_match,matched
Michy Batshuayi,michy batshuayi,Michy Batshuayi,michy batshuayi,100.0,exact_match,matched
Jessic Ngankam,jessic ngankam,Jessic Ngankam,jessic ngankam,100.0,exact_match,matched
Oliver Baumann,oliver baumann,Oliver Baumann,oliver baumann,100.0,manual_mapping,matched
Luca Philipp,luca philipp,Luca Philipp,luca philipp,100.0,exact_match,matched
Albian Hajdari,albian hajdari,Albian Hajdari,albian hajdari,100.0,exact_match,matched
Koki Machida,koki machida,Koki Machida,koki machida,100.0,exact_match,matched
Bernardo,bernardo,Bernardo,bernardo,100.0,exact_match,matched
Ozan Kabak,ozan kabak,Ozan Kabak,ozan kabak,100.0,exact_match,matched
Arthur Chaves,arthur chaves,Arthur Chaves,arthur chaves,100.0,exact_match,matched
Robin Hranac,robin hranac,Robin Hranáč,robin hranac,100.0,exact_match,matched
Kevin Akpoguma,kevin akpoguma,Kevin Akpoguma,kevin akpoguma,100.0,exact_match,matched
Alexander Prass,alexander prass,Alexander Prass,alexander prass,100.0,exact_match,matched
Valentin Gendrey,valentin gendrey,Valentin Gendrey,valentin gendrey,100.0,exact_match,matched
Vladimír Coufal,vladimir coufal,Vladimír Coufal,vladimir coufal,100.0,exact_match,matched
Leon Avdullahu,leon avdullahu,Leon Avdullahu,leon avdullahu,100.0,exact_match,matched
Wouter Burger,wouter burger,Wouter Burger,wouter burger,100.0,exact_match,matched
Umut Tohumcu,umut tohumcu,Umut Tohumcu,umut tohumcu,100.0,exact_match,matched
Grischa Prömel,grischa proemel,Grischa Prömel,grischa proemel,100.0,exact_match,matched
Dennis Geiger,dennis geiger,Dennis Geiger,dennis geiger,100.0,exact_match,matched
Muhammed Damar,muhammed damar,Muhammed Damar,muhammed damar,100.0,exact_match,matched
Andrej Kramaric,andrej kramaric,Andrej Kramarić,andrej kramaric,100.0,manual_mapping,matched
Bazoumana Touré,bazoumana toure,Bazoumana Touré,bazoumana toure,100.0,exact_match,matched
Adam Hlozek,adam hlozek,Adam Hložek,adam hlozek,100.0,exact_match,matched
Fisnik Asllani,fisnik asllani,Fisnik Asllani,fisnik asllani,100.0,exact_match,matched
Max Moerstedt,max moerstedt,Max Moerstedt,max moerstedt,100.0,exact_match,matched
Tim Lemperle,tim lemperle,Tim Lemperle,tim lemperle,100.0,exact_match,matched
Mergim Berisha,mergim berisha,Mergim Berisha,mergim berisha,100.0,exact_match,matched
Ihlas Bebou,ihlas bebou,Ihlas Bebou,ihlas bebou,100.0,exact_match,matched
David Mokwa,david mokwa,David Mokwa,david mokwa,100.0,exact_match,matched
Noah Atubolu,noah atubolu,Noah Atubolu,noah atubolu,100.0,exact_match,matched
Florian Müller,florian mueller,Florian Müller,florian mueller,100.0,exact_match,matched
Philipp Lienhart,philipp lienhart,Philipp Lienhart,philipp lienhart,100.0,exact_match,matched
Max Rosenfelder,max rosenfelder,Max Rosenfelder,max rosenfelder,100.0,exact_match,matched
Matthias Ginter,matthias ginter,Matthias Ginter,matthias ginter,100.0,manual_mapping,matched
Anthony Jung,anthony jung,Anthony Jung,anthony jung,100.0,exact_match,matched
Jordy Makengo,jordy makengo,Jordy Makengo,jordy makengo,100.0,exact_match,matched
Christian Günter,christian guenter,Christian Günter,christian guenter,100.0,exact_match,matched
Philipp Treu,philipp treu,Philipp Treu,philipp treu,100.0,exact_match,matched
Lukas Kübler,lukas kuebler,Lukas Kübler,lukas kuebler,100.0,exact_match,matched
Patrick Osterhage,patrick osterhage,Patrick Osterhage,patrick osterhage,100.0,exact_match,matched
Nicolas Höfler,nicolas hoefler,Nicolas Höfler,nicolas hoefler,100.0,exact_match,matched
Maximilian Eggestein,maximilian eggestein,Maximilian Eggestein,maximilian eggestein,100.0,manual_mapping,matched
Johan Manzambi,johan manzambi,Johan Manzambi,johan manzambi,100.0,exact_match,matched
Yuito Suzuki,yuito suzuki,Yuito Suzuki,yuito suzuki,100.0,exact_match,matched
Vincenzo Grifo,vincenzo grifo,Vincenzo Grifo,vincenzo grifo,100.0,manual_mapping,matched
Derry Scherhant,derry scherhant,Derry Scherhant,derry scherhant,100.0,exact_match,matched
Eren Dinkçi,eren dinkci,Eren Dinkçi,eren dinkci,100.0,exact_match,matched
Cyriaque Irié,cyriaque irie,Cyriaque Irié,cyriaque irie,100.0,exact_match,matched
Maximilian Philipp,maximilian philipp,Maximilian Philipp,maximilian philipp,100.0,exact_match,matched
Junior Adamu,junior adamu,Junior Adamu,junior adamu,100.0,exact_match,matched
Igor Matanovic,igor matanovic,Igor Matanovic,igor matanovic,100.0,exact_match,matched
Lucas Höler,lucas hoeler,Lucas Höler,lucas hoeler,100.0,exact_match,matched
Diant Ramaj,diant ramaj,Diant Ramaj,diant ramaj,100.0,exact_match,matched
Kevin Müller,kevin mueller,Kevin Müller,kevin mueller,100.0,exact_match,matched
Frank Feller,frank feller,Frank Feller,frank feller,100.0,exact_match,matched
Benedikt Gimber,benedikt gimber,Benedikt Gimber,benedikt gimber,100.0,exact_match,matched
Patrick Mainka,patrick mainka,Patrick Mainka,patrick mainka,100.0,exact_match,matched
Tim Siersleben,tim siersleben,Tim Siersleben,tim siersleben,100.0,exact_match,matched
Thomas Keller,thomas keller,Thomas Keller,thomas keller,100.0,exact_match,matched
Adam Kölle,adam koelle,Adam Kölle,adam koelle,100.0,exact_match,matched
Jonas Föhrenbach,jonas foehrenbach,Jonas Föhrenbach,jonas foehrenbach,100.0,exact_match,matched
Omar Traoré,omar traore,Omar Traoré,omar traore,100.0,exact_match,matched
Marnon Busch,marnon busch,Marnon Busch,marnon busch,100.0,exact_match,matched
Niklas Dorsch,niklas dorsch,Niklas Dorsch,niklas dorsch,100.0,exact_match,matched
Julian Niehues,julian niehues,Julian Niehues,julian niehues,100.0,exact_match,matched
Jan Schöppner,jan schoeppner,Jan Schöppner,jan schoeppner,100.0,exact_match,matched
Luca Kerber,luca kerber,Luca Kerber,luca kerber,100.0,exact_match,matched
Arijon Ibrahimovic,arijon ibrahimovic,Arijon Ibrahimović,arijon ibrahimovic,100.0,exact_match,matched
Adrian Beck,adrian beck,Adrian Beck,adrian beck,100.0,exact_match,matched
Mathias Honsak,mathias honsak,Mathias Honsak,mathias honsak,100.0,exact_match,matched
Yannik Wagner,yannik wagner,Yannik Wagner,yannik wagner,100.0,exact_match,matched
Sirlord Conteh,sirlord conteh,Sirlord Conteh,sirlord conteh,100.0,exact_match,matched
Marvin Pieringer,marvin pieringer,Marvin Pieringer,marvin pieringer,100.0,exact_match,matched
Budu Zivzivadze,budu zivzivadze,Budu Zivzivadze,budu zivzivadze,100.0,exact_match,matched
Mikkel Kaufmann,mikkel kaufmann,Mikkel Kaufmann,mikkel kaufmann,100.0,exact_match,matched
Stefan Schimmer,stefan schimmer,Stefan Schimmer,stefan schimmer,100.0,exact_match,matched
Mio Backhaus,mio backhaus,Mio Backhaus,mio backhaus,100.0,exact_match,matched
Marco Friedl,marco friedl,Marco Friedl,marco friedl,100.0,manual_mapping,matched
Niklas Stark,niklas stark,Niklas Stark,niklas stark,100.0,exact_match,matched
Amos Pieper,amos pieper,Amos Pieper,amos pieper,100.0,manual_mapping,matched
Julián Malatini,julian malatini,Julián Malatini,julian malatini,100.0,exact_match,matched
Felix Agu,felix agu,Felix Agu,felix agu,100.0,exact_match,matched
Olivier Deman,olivier deman,Olivier Deman,olivier deman,100.0,exact_match,matched
Yukinari Sugawara,yukinari sugawara,Yukinari Sugawara,yukinari sugawara,100.0,exact_match,matched
Mitchell Weiser,mitchell weiser,Mitchell Weiser,mitchell weiser,100.0,exact_match,matched
Isaac Schmidt,isaac schmidt,Isaac Schmidt,isaac schmidt,100.0,exact_match,matched
Senne Lynen,senne lynen,Senne Lynen,senne lynen,100.0,exact_match,matched
Skelly Alvero,skelly alvero,Skelly Alvero,skelly alvero,100.0,exact_match,matched
Jens Stage,jens stage,Jens Stage,jens stage,100.0,exact_match,matched
Leonardo Bittencourt,leonardo bittencourt,Leonardo Bittencourt,leonardo bittencourt,100.0,manual_mapping,matched
Romano Schmid,romano schmid,Romano Schmid,romano schmid,100.0,exact_match,matched
Cameron Puertas,cameron puertas,Cameron Puertas,cameron puertas,100.0,exact_match,matched
Patrice Covic,patrice covic,Patrice Čović,patrice covic,100.0,exact_match,matched
Isak Hansen-Aarøen,isak hansenaaroen,Isak Hansen-Aarøen,isak hansenaaroen,100.0,exact_match,matched
Samuel Mbangula,samuel mbangula,Samuel Mbangula,samuel mbangula,100.0,exact_match,matched
Marco Grüll,marco gruell,Marco Grüll,marco gruell,100.0,exact_match,matched
Justin Njinmah,justin njinmah,Justin Njinmah,justin njinmah,100.0,exact_match,matched
Victor Boniface,victor boniface,Victor Boniface,victor boniface,100.0,exact_match,matched
Moritz Nicolas,moritz nicolas,Moritz Nicolas,moritz nicolas,100.0,exact_match,matched
Jonas Omlin,jonas omlin,Jonas Omlin,jonas omlin,100.0,exact_match,matched
Tobias Sippel,tobias sippel,Tobias Sippel,tobias sippel,100.0,exact_match,matched
Nico Elvedi,nico elvedi,Nico Elvedi,nico elvedi,100.0,manual_mapping,matched
Kevin Diks,kevin diks,Kevin Diks,kevin diks,100.0,exact_match,matched
Marvin Friedrich,marvin friedrich,Marvin Friedrich,marvin friedrich,100.0,exact_match,matched
Fabio Chiarodia,fabio chiarodia,Fabio Chiarodia,fabio chiarodia,100.0,exact_match,matched
Lukas Ullrich,lukas ullrich,Lukas Ullrich,lukas ullrich,100.0,exact_match,matched
Luca Netz,luca netz,Luca Netz,luca netz,100.0,exact_match,matched
Joe Scally,joe scally,Joe Scally,joe scally,100.0,exact_match,matched
Yannik Engelhardt,yannik engelhardt,Yannik Engelhardt,yannik engelhardt,100.0,exact_match,matched
Rocco Reitz,rocco reitz,Rocco Reitz,rocco reitz,100.0,exact_match,matched
Philipp Sander,philipp sander,Philipp Sander,philipp sander,100.0,exact_match,matched
Florian Neuhaus,florian neuhaus,Florian Neuhaus,florian neuhaus,100.0,manual_mapping,matched
Kevin Stöger,kevin stoeger,Kevin Stöger,kevin stoeger,100.0,exact_match,matched
Robin Hack,robin hack,Robin Hack,robin hack,100.0,manual_mapping,matched
Franck Honorat,franck honorat,Franck Honorat,franck honorat,100.0,exact_match,matched
Nathan Ngoumou,nathan ngoumou,Nathan N'Goumou,nathan ngoumou,100.0,exact_match,matched
Charles Herrmann,charles herrmann,Charles Herrmann,charles herrmann,100.0,exact_match,matched
Tim Kleindienst,tim kleindienst,Tim Kleindienst,tim kleindienst,100.0,manual_mapping,matched
Shuto Machino,shuto machino,Shuto Machino,shuto machino,100.0,exact_match,matched
Haris Tabakovic,haris tabakovic,Haris Tabakovic,haris tabakovic,100.0,exact_match,matched
Grant-Leon Ranos,grantleon ranos,Grant Ranos,grant ranos,100.0,manual_mapping,matched
Kamil Grabara,kamil grabara,Kamil Grabara,kamil grabara,100.0,exact_match,matched
Marius Müller,marius mueller,Marius Müller,marius mueller,100.0,exact_match,matched
Pavao Pervan,pavao pervan,Pavao Pervan,pavao pervan,100.0,exact_match,matched
Konstantinos Koulierakis,konstantinos koulierakis,Konstantinos Koulierakis,konstantinos koulierakis,100.0,exact_match,matched
Denis Vavro,denis vavro,Denis Vavro,denis vavro,100.0,exact_match,matched
Moritz Jenz,moritz jenz,Moritz Jenz,moritz jenz,100.0,exact_match,matched
Jenson Seelt,jenson seelt,Jenson Seelt,jenson seelt,100.0,exact_match,matched
Joakim Mæhle,joakim maehle,Joakim Mæhle,joakim maehle,100.0,exact_match,matched
Aaron Zehnter,aaron zehnter,Aaron Zehnter,aaron zehnter,100.0,exact_match,matched
Rogério,rogerio,Rogério,rogerio,100.0,exact_match,matched
Kilian Fischer,kilian fischer,Kilian Fischer,kilian fischer,100.0,exact_match,matched
Mattias Svanberg,mattias svanberg,Mattias Svanberg,mattias svanberg,100.0,exact_match,matched
Maximilian Arnold,maximilian arnold,Maximilian Arnold,maximilian arnold,100.0,manual_mapping,matched
Yannick Gerhardt,yannick gerhardt,Yannick Gerhardt,yannick gerhardt,100.0,manual_mapping,matched
Kevin Paredes,kevin paredes,Kevin Paredes,kevin paredes,100.0,exact_match,matched
Lovro Majer,lovro majer,Lovro Majer,lovro majer,100.0,exact_match,matched
Bence Dárdai,bence dardai,Bence Dárdai,bence dardai,100.0,exact_match,matched
Christian Eriksen,christian eriksen,Christian Eriksen,christian eriksen,100.0,exact_match,matched
Jesper Lindstrøm,jesper lindstrom,Jesper Lindstrøm,jesper lindstrom,100.0,manual_mapping,matched
Patrick Wimmer,patrick wimmer,Patrick Wimmer,patrick wimmer,100.0,exact_match,matched
Andreas Skov Olsen,andreas skov olsen,Andreas Skov Olsen,andreas skov olsen,100.0,exact_match,matched
Mohamed Amoura,mohamed amoura,Mohamed Amoura,mohamed amoura,100.0,exact_match,matched
Jonas Wind,jonas wind,Jonas Wind,jonas wind,100.0,exact_match,matched
Adam Daghim,adam daghim,Adam Daghim,adam daghim,100.0,exact_match,matched
Dzenan Pejcinovic,dzenan pejcinovic,Dženan Pejčinović,dzenan pejcinovic,100.0,exact_match,matched
Finn Dahmen,finn dahmen,Finn Dahmen,finn dahmen,100.0,exact_match,matched
Nediljko Labrovic,nediljko labrovic,Nediljko Labrović,nediljko labrovic,100.0,exact_match,matched
Chrislain Matsima,chrislain matsima,Chrislain Matsima,chrislain matsima,100.0,exact_match,matched
Cédric Zesiger,cedric zesiger,Cedric Zesiger,cedric zesiger,100.0,exact_match,matched
Keven Schlotterbeck,keven schlotterbeck,Keven Schlotterbeck,keven schlotterbeck,100.0,exact_match,matched
Noahkai Banks,noahkai banks,Noahkai Banks,noahkai banks,100.0,exact_match,matched
Maximilian Bauer,maximilian bauer,Maximilian Bauer,maximilian bauer,100.0,manual_mapping,matched
Jeffrey Gouweleeuw,jeffrey gouweleeuw,Jeffrey Gouweleeuw,jeffrey gouweleeuw,100.0,manual_mapping,matched
Mads Pedersen,mads pedersen,Mads Pedersen,mads pedersen,100.0,exact_match,matched
Marius Wolf,marius wolf,Marius Wolf,marius wolf,100.0,exact_match,matched
Kristijan Jakic,kristijan jakic,Kristijan Jakić,kristijan jakic,100.0,exact_match,matched
Robin Fellhauer,robin fellhauer,Robin Fellhauer,robin fellhauer,100.0,exact_match,matched
Mahmut Kücüksahin,mahmut kuecueksahin,Mahmut Kücüksahin,mahmut kuecueksahin,100.0,exact_match,matched
Han-Noah Massengo,hannoah massengo,Han-Noah Massengo,hannoah massengo,100.0,exact_match,matched
Arne Maier,arne maier,Arne Maier,arne maier,100.0,exact_match,matched
Elvis Rexhbecaj,elvis rexhbecaj,Elvis Rexhbeçaj,elvis rexhbecaj,100.0,manual_mapping,matched
Anton Kade,anton kade,Anton Kade,anton kade,100.0,exact_match,matched
Alexis Claude-Maurice,alexis claudemaurice,Alexis Claude-Maurice,alexis claudemaurice,100.0,exact_match,matched
Fabian Rieder,fabian rieder,Fabian Rieder,fabian rieder,100.0,exact_match,matched
Mert Kömür,mert koemuer,Mert Kömür,mert koemuer,100.0,exact_match,matched
Ismaël Gharbi,ismael gharbi,Ismaël Gharbi,ismael gharbi,100.0,exact_match,matched
Elias Saad,elias saad,Elias Saad,elias saad,100.0,exact_match,matched
Aiman Dardari,aiman dardari,Aiman Dardari,aiman dardari,100.0,exact_match,matched
Phillip Tietz,phillip tietz,Phillip Tietz,phillip tietz,100.0,exact_match,matched
Samuel Essende,samuel essende,Samuel Essende,samuel essende,100.0,exact_match,matched
Diogo Leite,diogo leite,Diogo Leite,diogo leite,100.0,exact_match,matched
Danilho Doekhi,danilho doekhi,Danilho Doekhi,danilho doekhi,100.0,exact_match,matched
Leopold Querfeld,leopold querfeld,Leopold Querfeld,leopold querfeld,100.0,exact_match,matched
Tom Rothe,tom rothe,Tom Rothe,tom rothe,100.0,exact_match,matched
Derrick Köhn,derrick koehn,Derrick Köhn,derrick koehn,100.0,exact_match,matched
Josip Juranovic,josip juranovic,Josip Juranović,josip juranovic,100.0,exact_match,matched
Christopher Trimmel,christopher trimmel,Christopher Trimmel,christopher trimmel,100.0,manual_mapping,matched
Aljoscha Kemlein,aljoscha kemlein,Aljoscha Kemlein,aljoscha kemlein,100.0,exact_match,matched
Rani Khedira,rani khedira,Rani Khedira,rani khedira,100.0,exact_match,matched
Alex Král,alex kral,Alex Král,alex kral,100.0,exact_match,matched
András Schäfer,andras schaefer,András Schäfer,andras schaefer,100.0,exact_match,matched
Janik Haberer,janik haberer,Janik Haberer,janik haberer,100.0,manual_mapping,matched
Robert Skov,robert skov,Robert Skov,robert skov,100.0,exact_match,matched
David Preu,david preu,David Preu,david preu,100.0,exact_match,matched
Ilyas Ansah,ilyas ansah,Ilyas Ansah,ilyas ansah,100.0,exact_match,matched
Andrej Ilic,andrej ilic,Andrej Ilic,andrej ilic,100.0,exact_match,matched
Marin Ljubicic,marin ljubicic,Marin Ljubicic,marin ljubicic,100.0,exact_match,matched
Oliver Burke,oliver burke,Oliver Burke,oliver burke,100.0,exact_match,matched
Tim Skarke,tim skarke,Tim Skarke,tim skarke,100.0,exact_match,matched
Timo Horn,timo horn,Timo Horn,timo horn,100.0,exact_match,matched
Erhan Masovic,erhan masovic,Erhan Mašović,erhan masovic,100.0,manual_mapping,matched
Noah Loosli,noah loosli,Noah Loosli,noah loosli,100.0,exact_match,matched
Maximilian Wittek,maximilian wittek,Maximilian Wittek,maximilian wittek,100.0,exact_match,matched
Felix Passlack,felix passlack,Felix Passlack,felix passlack,100.0,exact_match,matched
Kacper Koscierski,kacper koscierski,Kacper Koscierski,kacper koscierski,100.0,exact_match,matched
Ibrahima Sissoko,ibrahima sissoko,Ibrahima Sissoko,ibrahima sissoko,100.0,exact_match,matched
Matus Bero,matus bero,Matúš Bero,matus bero,100.0,exact_match,matched
Moritz-Broni Kwarteng,moritzbroni kwarteng,Moritz-Broni Kwarteng,moritzbroni kwarteng,100.0,exact_match,matched
Mats Pannewig,mats pannewig,Mats Pannewig,mats pannewig,100.0,exact_match,matched
Koji Miyoshi,koji miyoshi,Koji Miyoshi,koji miyoshi,100.0,exact_match,matched
Gerrit Holtmann,gerrit holtmann,Gerrit Holtmann,gerrit holtmann,100.0,manual_mapping,matched
Philipp Hofmann,philipp hofmann,Philipp Hofmann,philipp hofmann,100.0,manual_mapping,matched
Marvin Schwäbe,marvin schwaebe,Marvin Schwäbe,marvin schwaebe,100.0,exact_match,matched
Rav van den Berg,rav van den berg,Rav van den Berg,rav van den berg,100.0,exact_match,matched
Timo Hübers,timo huebers,Timo Hübers,timo huebers,100.0,exact_match,matched
Joël Schmied,joel schmied,Joël Schmied,joel schmied,100.0,exact_match,matched
Cenk Özkacar,cenk oezkacar,Cenk Özkacar,cenk oezkacar,100.0,exact_match,matched
Dominique Heintz,dominique heintz,Dominique Heintz,dominique heintz,100.0,exact_match,matched
Luca Kilian,luca kilian,Luca Kilian,luca kilian,100.0,manual_mapping,matched
Neo Telle,neo telle,Neo Telle,neo telle,100.0,exact_match,matched
Kristoffer Lund,kristoffer lund,Kristoffer Lund,kristoffer lund,100.0,exact_match,matched
Jusuf Gazibegovic,jusuf gazibegovic,Jusuf Gazibegović,jusuf gazibegovic,100.0,exact_match,matched
Sebastian Sebulonsen,sebastian sebulonsen,Sebastian Sebulonsen,sebastian sebulonsen,100.0,exact_match,matched
Eric Martel,eric martel,Eric Martel,eric martel,100.0,exact_match,matched
Ísak Jóhannesson,isak johannesson,Ísak Jóhannesson,isak johannesson,100.0,exact_match,matched
